Date,Close,Volume
2024-09-30,37919.55,190500000
2024-10-01,38651.97,132100000
2024-10-02,37808.76,139600000
2024-10-03,38552.06,126800000
2024-10-04,38635.62,121200000
2024-10-07,39332.74,128000000
2024-10-08,38937.54,120400000
2024-10-09,39277.96,106800000
2024-10-10,39380.89,103500000
2024-10-11,39605.8,110900000
2024-10-15,39910.55,129000000
2024-10-16,39180.3,108100000
2024-10-17,38911.19,107200000
2024-10-18,38981.75,95700000
2024-10-21,38954.6,99000000
2024-10-22,38411.96,110400000
2024-10-23,38104.86,95400000
2024-10-24,38143.29,108700000
2024-10-25,37913.92,90700000
2024-10-28,38605.53,116600000
2024-10-29,38903.68,97400000
2024-10-30,39277.39,221800000
2024-10-31,39081.25,144300000
2024-11-01,38053.67,130300000
2024-11-05,38474.9,120000000
2024-11-06,39480.67,170600000
2024-11-07,39381.41,190000000
2024-11-08,39500.37,159300000
2024-11-11,39533.32,122700000
2024-11-12,39376.09,163000000
2024-11-13,38721.66,150400000
2024-11-14,38535.7,133800000
2024-11-15,38642.91,143900000
2024-11-18,38220.85,106000000
2024-11-19,38414.43,109200000
2024-11-20,38352.34,103500000
2024-11-21,38026.17,101900000
2024-11-22,38283.85,103300000
2024-11-25,38780.14,192400000
2024-11-26,38442.0,122800000
2024-11-27,38134.97,120500000
2024-11-28,38349.06,103400000
2024-11-29,38208.03,102300000
2024-12-02,38513.02,110500000
2024-12-03,39248.86,142200000
2024-12-04,39276.39,119100000
2024-12-05,39395.6,116400000
2024-12-06,39091.17,101500000
2024-12-09,39160.5,113100000
2024-12-10,39367.58,110300000
2024-12-11,39372.23,105800000
2024-12-12,39849.14,121100000
2024-12-13,39470.44,123900000
2024-12-16,39457.49,87500000
2024-12-17,39364.68,115700000
2024-12-18,39081.71,132200000
2024-12-19,38813.58,147700000
2024-12-20,38701.9,184500000
2024-12-23,39161.34,103200000
2024-12-24,39036.85,116200000
2024-12-25,39130.43,116100000
2024-12-26,39568.06,131400000
2024-12-27,40281.16,159500000
2024-12-30,39894.54,110600000
2025-01-06,39307.05,137900000
2025-01-07,40083.3,127000000
2025-01-08,39981.06,118800000
2025-01-09,39605.09,117000000
2025-01-10,39190.4,113200000
2025-01-14,38474.3,126900000
2025-01-15,38444.58,100700000
2025-01-16,38572.6,114200000
2025-01-17,38451.46,115300000
2025-01-20,38902.5,87500000
2025-01-21,39027.98,93300000
2025-01-22,39646.25,108500000
2025-01-23,39958.87,119100000
2025-01-24,39931.98,122600000
2025-01-27,39565.8,117200000
2025-01-28,39016.87,132000000
2025-01-29,39414.78,108600000
2025-01-30,39513.97,107900000
2025-01-31,39572.49,123300000
2025-02-03,38520.09,169200000
2025-02-04,38798.37,144300000
2025-02-05,38831.48,151200000
2025-02-06,39066.53,154700000
2025-02-07,38787.02,148700000
2025-02-10,38801.17,134600000
2025-02-12,38963.7,175500000
2025-02-13,39461.47,130400000
2025-02-14,39149.43,132900000
2025-02-17,39174.25,111300000
2025-02-18,39270.4,116000000
2025-02-19,39164.61,124300000
2025-02-20,38678.04,125200000
2025-02-21,38776.94,130100000
2025-02-25,38237.79,132900000
2025-02-26,38142.37,120800000
2025-02-27,38256.17,121600000
2025-02-28,37155.5,191600000
2025-03-03,37785.47,115800000
2025-03-04,37331.18,138200000
2025-03-05,37418.24,130900000
2025-03-06,37704.93,137700000
2025-03-07,36887.17,136800000
2025-03-10,37028.27,109800000
2025-03-11,36793.11,153600000
2025-03-12,36819.09,128700000
2025-03-13,36790.03,119300000
2025-03-14,37053.1,134800000
2025-03-17,37396.52,120300000
2025-03-18,37845.42,133500000
2025-03-19,37751.88,116800000
2025-03-21,37677.06,181800000
2025-03-24,37608.49,101600000
2025-03-25,37780.54,107300000
2025-03-26,38027.29,117100000
2025-03-27,37799.97,140000000
2025-03-28,37120.33,133200000
2025-03-31,35617.56,168400000
2025-04-01,35624.48,123600000
2025-04-02,35725.87,128700000
2025-04-03,34735.93,195800000
2025-04-04,33780.58,227600000
2025-04-07,31136.58,266700000
2025-04-08,33012.58,191900000
2025-04-09,31714.03,199300000
2025-04-10,34609.0,201600000
2025-04-11,33585.58,182600000
2025-04-14,33982.36,118800000
2025-04-15,34267.54,113800000
2025-04-16,33920.4,115600000
2025-04-17,34377.6,111200000
2025-04-18,34730.28,102000000
2025-04-21,34279.92,96400000
2025-04-22,34220.6,99400000
2025-04-23,34868.63,133400000
2025-04-24,35039.15,137100000
2025-04-25,35705.74,134700000
2025-04-28,35839.99,132400000
2025-04-30,36045.38,167100000
2025-05-01,36452.3,131600000
2025-05-02,36830.69,141000000
